address,bank,body,from_or_to,amount
AD-INDUSB-S,IndusInd Bank,INDUSIND Alert: ₹327.83 received via UPI to IndusInd Bank A/c xxxx1660 from VI Prepaid (viprepaid@ybl) on 23-Aug-2025. Ref 391442113577.,VI Prepaid,327.83
VK-PNBUPI,Punjab National Bank,PNB Alert: INR340.99 sent via UPI from Punjab National Bank A/c xxxx6092 to Neha Malhotra (nehamalhot@ibl) on 11-Aug-2025. Ref 216307215404.,Neha Malhotra,340.99
VK-INDUSUPI,IndusInd Bank,"INDUSIND Alert: Rs.1,4,699.08 sent via UPI from IndusInd Bank A/c XX5070 to Amazon (amazon@okaxis) on 23-08-25. Ref 685176859254.",Amazon,14699.08
VK-KOTAKB-I,Kotak Mahindra Bank,"KOTAK Alert: ₹3,400.24 received via UPI to Kotak Mahindra Bank A/c XX6555 from Neha Malhotra (nehamalhot@okaxis) on 22-06-25. Ref 220746080725.",Neha Malhotra,3400.24
VK-ICICIB,ICICI Bank,"ICICI Alert: INR2,9,733.53 sent via UPI from ICICI Bank A/c **9803 to Paytm (paytm@okaxis) on 19/06/2025. Ref 575143614095.",Paytm,29733.53
VM-ICICIB-I,ICICI Bank,"ICICI Alert: INR4,006.12 sent via UPI from ICICI Bank A/c **2637 to Kiran Rao (kiranrao@ibl) on 27-07-25. Ref 101698636116.",Kiran Rao,4006.12
AD-SBIUPI-I,State Bank of India,"SBI Alert: Rs.3,0,406.12 sent via UPI from State Bank of India A/c xxxx2840 to Swiggy (swiggy@sbi) on 06-Jun-2025. Ref 718149616738.",Swiggy,30406.12
VK-PNBUPI-I,Punjab National Bank,PNB Alert: INR232.38 sent via UPI from Punjab National Bank A/c **8220 to Anil Gupta (anilgupta@upi) on 14/06/2025. Ref 449350461905.,Anil Gupta,232.38
BP-KOTAKUPI-I,Kotak Mahindra Bank,KOTAK Alert: ₹107.51 sent via UPI from Kotak Mahindra Bank A/c XX2056 to Airtel Prepaid (airtelprep@ybl) on 26-Aug-2025. Ref 642833140941.,Airtel Prepaid,107.51
VM-IDFCUPI-S,IDFC FIRST Bank,"IDFC Alert: Rs.1,5,687.64 received via UPI to IDFC FIRST Bank A/c xxxx1670 from Pooja Patel (poojapatel@okaxis) on 10-08-25. Ref 845285734969.",Pooja Patel,15687.64
VK-KOTAKB-I,Kotak Mahindra Bank,"KOTAK Alert: INR4,7,665.13 received via UPI to Kotak Mahindra Bank A/c XX1778 from JioMart (jiomart@ibl) on 06/08/2025. Ref 030535468874.",JioMart,47665.13
MD-PNBSMS-S,Punjab National Bank,"PNB Alert: INR3,4,798.24 sent via UPI from Punjab National Bank A/c XX4039 to Nisha S (nishas@ybl) on 01-08-25. Ref 713195713066.",Nisha S,34798.24
AD-SBIUPI,State Bank of India,SBI Alert: ₹293.76 sent via UPI from State Bank of India A/c XX5968 to Myntra (myntra@okhdfcbank) on 25-Jul-2025. Ref 593354121870.,Myntra,293.76
AD-KOTAKB-I,Kotak Mahindra Bank,KOTAK Alert: Rs.253.83 received via UPI to Kotak Mahindra Bank A/c **1643 from Vikas T (vikast@axl) on 27-08-25. Ref 871822356664.,Vikas T,253.83
VM-IDFCUPI,IDFC FIRST Bank,"IDFC Alert: INR8,250.53 received via UPI to IDFC FIRST Bank A/c **9433 from Myntra (myntra@kotak) on 09-Aug-2025. Ref 058424408269.",Myntra,8250.53
VK-BOBUPI-I,Bank of Baroda,"BOB Alert: Rs.2,896.59 sent via UPI from Bank of Baroda A/c XX1176 to Priya Verma (priyaverma@okaxis) on 04/08/2025. Ref 992247038129.",Priya Verma,2896.59
AX-AXISBK-I,Axis Bank,AXIS Alert: Rs.58.24 sent via UPI from Axis Bank A/c xxxx6743 to Tata Sky (tatasky@upi) on 30-06-25. Ref 162932656983.,Tata Sky,58.24
BP-KOTAKUPI-S,Kotak Mahindra Bank,"KOTAK Alert: ₹3,495.08 received via UPI to Kotak Mahindra Bank A/c xxxx5455 from Lavanya K (lavanyak@idfcbank) on 23-Jun-2025. Ref 463411194307.",Lavanya K,3495.08
VK-INDUSUPI-S,IndusInd Bank,INDUSIND Alert: ₹105.73 received via UPI to IndusInd Bank A/c **1140 from Airtel Prepaid (airtelprep@oksbi) on 25/07/2025. Ref 533348637575.,Airtel Prepaid,105.73
BP-YESBNK,YES Bank,"YES Alert: ₹4,181.17 sent via UPI from YES Bank A/c xxxx3789 to Manoj P (manojp@okhdfcbank) on 12-08-25. Ref 449290052232.",Manoj P,4181.17
VK-YESUPI,YES Bank,"YES Alert: ₹4,169.70 sent via UPI from YES Bank A/c XX4917 to Google Play Store (googleplay@sbi) on 24/06/2025. Ref 640188123368.",Google Play Store,4169.7
VK-ICICIB,ICICI Bank,"ICICI Alert: INR4,613.97 sent via UPI from ICICI Bank A/c XX3863 to Sanjay Singh (sanjaysing@ybl) on 23/07/2025. Ref 712443939106.",Sanjay Singh,4613.97
VK-SBIINB,State Bank of India,"SBI Alert: INR3,4,360.58 sent via UPI from State Bank of India A/c XX7380 to Amazon (amazon@ibl) on 03-08-25. Ref 706935830122.",Amazon,34360.58
AD-AXISBK-S,Axis Bank,AXIS Alert: INR446.69 received via UPI to Axis Bank A/c XX9121 from Nisha S (nishas@oksbi) on 19-Aug-2025. Ref 902202018384.,Nisha S,446.69
VK-PNBUPI-I,Punjab National Bank,"PNB Alert: ₹2,5,212.36 sent via UPI from Punjab National Bank A/c XX5776 to BPCL (bpcl@kotak) on 05-Jun-2025. Ref 847493879854.",BPCL,25212.36
JD-IDFCFB,IDFC FIRST Bank,"IDFC Alert: Rs.6,120.47 sent via UPI from IDFC FIRST Bank A/c **9103 to Divya R (divyar@ibl) on 15-07-25. Ref 862138937641.",Divya R,6120.47
JD-IDFCFB,IDFC FIRST Bank,"IDFC Alert: INR2,4,684.81 sent via UPI from IDFC FIRST Bank A/c **7365 to VI Prepaid (viprepaid@ibl) on 17-07-25. Ref 187556875981.",VI Prepaid,24684.81
AX-AXISBK-S,Axis Bank,"AXIS Alert: Rs.1,122.41 received via UPI to Axis Bank A/c xxxx5119 from Divya R (divyar@upi) on 27/07/2025. Ref 944632576326.",Divya R,1122.41
VK-ICICIB,ICICI Bank,ICICI Alert: Rs.251.04 sent via UPI from ICICI Bank A/c xxxx8851 to Zomato (zomato@okhdfcbank) on 06/06/2025. Ref 825949390092.,Zomato,251.04
VK-BOBUPI-S,Bank of Baroda,"BOB Alert: INR2,889.44 received via UPI to Bank of Baroda A/c **9096 from Sanjay Singh (sanjaysing@idfcbank) on 28/07/2025. Ref 263981597776.",Sanjay Singh,2889.44
BZ-HDFCBK,HDFC Bank,HDFC Alert: Rs.291.70 received via UPI to HDFC Bank A/c **3895 from Croma (croma@idfcbank) on 01/08/2025. Ref 042322923757.,Croma,291.7
VK-SBIINB-I,State Bank of India,SBI Alert: INR426.40 received via UPI to State Bank of India A/c XX5601 from Amit Sharma (amitsharma@ibl) on 17-Jul-2025. Ref 190526882281.,Amit Sharma,426.4
TM-SBIINB,State Bank of India,"SBI Alert: Rs.1,929.55 received via UPI to State Bank of India A/c xxxx7042 from Amazon (amazon@idfcbank) on 14-Jul-2025. Ref 084258916233.",Amazon,1929.55
AD-SBIUPI-S,State Bank of India,"SBI Alert: Rs.2,784.22 received via UPI to State Bank of India A/c xxxx1642 from Meena S (meenas@kotak) on 05/08/2025. Ref 645383220535.",Meena S,2784.22
VK-AXISUPI-I,Axis Bank,"AXIS Alert: Rs.4,8,964.30 received via UPI to Axis Bank A/c XX9845 from HP Fuel (hpfuel@okhdfcbank) on 22-06-25. Ref 168264339264.",HP Fuel,48964.3
VM-INDUSB,IndusInd Bank,"INDUSIND Alert: ₹3,090.86 received via UPI to IndusInd Bank A/c **4552 from Neha Malhotra (nehamalhot@okhdfcbank) on 25-Jul-2025. Ref 446059983235.",Neha Malhotra,3090.86
VM-IDFCUPI-I,IDFC FIRST Bank,"IDFC Alert: INR6,514.32 sent via UPI from IDFC FIRST Bank A/c xxxx5979 to BPCL (bpcl@sbi) on 22-08-25. Ref 332828867704.",BPCL,6514.32
VM-INDUSB-S,IndusInd Bank,"INDUSIND Alert: ₹2,5,700.22 sent via UPI from IndusInd Bank A/c xxxx9815 to Vikas T (vikast@kotak) on 17-Jun-2025. Ref 354819828404.",Vikas T,25700.22
AD-IDFCFB,IDFC FIRST Bank,"IDFC Alert: ₹3,6,611.80 received via UPI to IDFC FIRST Bank A/c XX7466 from Paytm (paytm@axl) on 12-Jul-2025. Ref 090136092775.",Paytm,36611.8
AD-SBIUPI-S,State Bank of India,"SBI Alert: INR4,9,233.86 sent via UPI from State Bank of India A/c XX4102 to Priya Verma (priyaverma@idfcbank) on 30-06-25. Ref 345390690297.",Priya Verma,49233.86
VM-ICICIB,ICICI Bank,ICICI Alert: INR452.85 received via UPI to ICICI Bank A/c **4654 from DMart (dmart@okhdfcbank) on 17-Aug-2025. Ref 310559999614.,DMart,452.85
VK-PNBUPI-I,Punjab National Bank,PNB Alert: INR487.46 received via UPI to Punjab National Bank A/c **1077 from Lavanya K (lavanyak@axl) on 09-06-25. Ref 769729715167.,Lavanya K,487.46
BZ-HDFCBK-S,HDFC Bank,"HDFC Alert: Rs.7,757.45 received via UPI to HDFC Bank A/c xxxx9466 from Google Play Store (googleplay@sbi) on 04-06-25. Ref 797765866478.",Google Play Store,7757.45
AD-BOBMSG-I,Bank of Baroda,BOB Alert: ₹264.12 received via UPI to Bank of Baroda A/c xxxx5228 from Meena S (meenas@axl) on 12-Aug-2025. Ref 616739528122.,Meena S,264.12
AD-IDFCFB-I,IDFC FIRST Bank,"IDFC Alert: ₹3,4,715.71 received via UPI to IDFC FIRST Bank A/c **8531 from DMart (dmart@axl) on 06-06-25. Ref 323128855703.",DMart,34715.71
VM-IDFCUPI-I,IDFC FIRST Bank,"IDFC Alert: Rs.4,912.79 sent via UPI from IDFC FIRST Bank A/c xxxx7091 to Amit Sharma (amitsharma@sbi) on 17/07/2025. Ref 499829929347.",Amit Sharma,4912.79
VK-ICICIB,ICICI Bank,"ICICI Alert: INR1,7,419.78 sent via UPI from ICICI Bank A/c xxxx7179 to Amazon (amazon@idfcbank) on 24/06/2025. Ref 615209739994.",Amazon,17419.78
BZ-BOBMSG-S,Bank of Baroda,"BOB Alert: ₹2,4,682.56 sent via UPI from Bank of Baroda A/c **2647 to Rajesh Kumar (rajeshkuma@okaxis) on 09-Jul-2025. Ref 664675999155.",Rajesh Kumar,24682.56
